1,Meshva,2025-09-13 08:36:44,125,Marker Black,2,23.75,47.50
1,Meshva,2025-09-13 08:36:44,121,Pencil HB,1,5.00,5.00
1,Meshva,2025-09-13 08:36:44,116,Ice Cream Cup 100ml,10,25.00,250.00
1,Meshva,2025-09-13 08:36:44,131,chocolate,20,2.00,40.00
2,Meshva,2025-09-13 09:21:13,121,Pencil HB,2,5.00,10.00
3,himanshi,2025-09-13 10:48:55,127,Soap Bar 100g,1,26.60,26.60
4,himanshi,2025-09-13 11:33:42,101,Rice 1kg,10,57.00,570.00
4,himanshi,2025-09-13 11:33:42,102,Wheat Flour 5kg,10,198.00,1980.00
5,Meshva,2025-09-13 13:25:49,101,Rice 1kg,4,57.00,228.00
5,Meshva,2025-09-13 13:25:49,108,Tea Powder 250g,1,104.50,104.50
5,Meshva,2025-09-13 13:25:49,48,Kurkure 100g,3,25.50,76.50
